[2024-08-08 16:32:26.796] [bm] [info] Params: run_name          sampleN30
[2024-08-08 16:32:26.796] [bm] [info] Params: input_data        ./Data/sampleN30.dat
[2024-08-08 16:32:26.796] [bm] [info] Params: input_init_guess  ./Results/sampleN30
[2024-08-08 16:32:26.796] [bm] [info] Params: output_data       ./Results/sampleN30.json
[2024-08-08 16:32:26.796] [bm] [info] Params: output_err        ./Results/err_sampleN30.txt
[2024-08-08 16:32:26.796] [bm] [info] Params: use_exact         false
[2024-08-08 16:32:26.796] [bm] [info] Params: iter_display      100
[2024-08-08 16:32:26.796] [bm] [info] Params: iter_max          150000
[2024-08-08 16:32:26.796] [bm] [info] Params: eta_J             0.05
[2024-08-08 16:32:26.796] [bm] [info] Params: eta_h             0.03
[2024-08-08 16:32:26.796] [bm] [info] Params: min_err_S         0.0006670033
[2024-08-08 16:32:26.796] [bm] [info] Params: min_err_SS        0.0009712739
[2024-08-08 16:32:26.796] [bm] [info] Params: n_rep             40
[2024-08-08 16:32:26.796] [bm] [info] Params: t_eq              9000
[2024-08-08 16:32:26.796] [bm] [info] Params: t_meas            270000
[2024-08-08 16:32:26.802] [bm] [info] read_tidy_data: read from ./Data/sampleN30.dat
[2024-08-08 18:08:33.991] [bm] [info] main: sampleN30 iter=13100 err_S=0.001433 err_SS=0.001518
[2024-08-08 18:09:16.657] [bm] [info] main: sampleN30 iter=13200 err_S=0.001358 err_SS=0.001483
[2024-08-08 18:09:59.349] [bm] [info] main: sampleN30 iter=13300 err_S=0.001220 err_SS=0.001387
[2024-08-08 18:10:42.009] [bm] [info] main: sampleN30 iter=13400 err_S=0.001310 err_SS=0.001437
[2024-08-08 18:11:24.676] [bm] [info] main: sampleN30 iter=13500 err_S=0.001517 err_SS=0.001595
[2024-08-08 18:12:07.335] [bm] [info] main: sampleN30 iter=13600 err_S=0.001378 err_SS=0.001454
[2024-08-08 18:12:49.986] [bm] [info] main: sampleN30 iter=13700 err_S=0.001330 err_SS=0.001493
[2024-08-08 18:13:32.689] [bm] [info] main: sampleN30 iter=13800 err_S=0.001336 err_SS=0.001531
[2024-08-08 18:14:15.352] [bm] [info] main: sampleN30 iter=13900 err_S=0.001339 err_SS=0.001467
[2024-08-08 18:14:58.033] [bm] [info] main: sampleN30 iter=14000 err_S=0.001471 err_SS=0.001623
[2024-08-08 18:15:40.698] [bm] [info] main: sampleN30 iter=14100 err_S=0.001309 err_SS=0.001349
[2024-08-08 18:16:23.370] [bm] [info] main: sampleN30 iter=14200 err_S=0.001357 err_SS=0.001652
[2024-08-08 18:17:06.030] [bm] [info] main: sampleN30 iter=14300 err_S=0.001282 err_SS=0.001493
[2024-08-08 18:17:48.711] [bm] [info] main: sampleN30 iter=14400 err_S=0.001687 err_SS=0.001922
[2024-08-08 18:18:31.425] [bm] [info] main: sampleN30 iter=14500 err_S=0.001426 err_SS=0.001677
[2024-08-08 18:19:14.133] [bm] [info] main: sampleN30 iter=14600 err_S=0.001409 err_SS=0.001591
[2024-08-08 18:19:56.866] [bm] [info] main: sampleN30 iter=14700 err_S=0.001325 err_SS=0.001657
[2024-08-08 18:20:39.598] [bm] [info] main: sampleN30 iter=14800 err_S=0.001530 err_SS=0.001736
[2024-08-08 18:21:22.303] [bm] [info] main: sampleN30 iter=14900 err_S=0.001147 err_SS=0.001306
[2024-08-08 18:22:05.028] [bm] [info] main: sampleN30 iter=15000 err_S=0.001505 err_SS=0.001648
[2024-08-08 18:22:47.730] [bm] [info] main: sampleN30 iter=15100 err_S=0.001367 err_SS=0.001709
[2024-08-08 18:23:30.442] [bm] [info] main: sampleN30 iter=15200 err_S=0.001931 err_SS=0.002381
[2024-08-08 18:24:13.136] [bm] [info] main: sampleN30 iter=15300 err_S=0.001473 err_SS=0.001536
[2024-08-08 18:24:55.800] [bm] [info] main: sampleN30 iter=15400 err_S=0.001639 err_SS=0.001867
[2024-08-08 18:25:38.477] [bm] [info] main: sampleN30 iter=15500 err_S=0.001860 err_SS=0.002299
[2024-08-08 18:26:21.189] [bm] [info] main: sampleN30 iter=15600 err_S=0.001261 err_SS=0.001458
[2024-08-08 18:27:03.878] [bm] [info] main: sampleN30 iter=15700 err_S=0.001871 err_SS=0.002045
[2024-08-08 18:27:46.624] [bm] [info] main: sampleN30 iter=15800 err_S=0.001334 err_SS=0.001529
[2024-08-08 18:28:29.330] [bm] [info] main: sampleN30 iter=15900 err_S=0.001441 err_SS=0.001640
[2024-08-08 18:29:12.045] [bm] [info] main: sampleN30 iter=16000 err_S=0.001478 err_SS=0.001739
[2024-08-08 18:29:54.784] [bm] [info] main: sampleN30 iter=16100 err_S=0.001355 err_SS=0.001588
[2024-08-08 18:30:37.488] [bm] [info] main: sampleN30 iter=16200 err_S=0.001627 err_SS=0.001777
[2024-08-08 18:31:20.204] [bm] [info] main: sampleN30 iter=16300 err_S=0.001486 err_SS=0.001606
[2024-08-08 18:32:02.894] [bm] [info] main: sampleN30 iter=16400 err_S=0.001318 err_SS=0.001652
[2024-08-08 18:32:45.588] [bm] [info] main: sampleN30 iter=16500 err_S=0.001429 err_SS=0.001835
[2024-08-08 18:33:28.296] [bm] [info] main: sampleN30 iter=16600 err_S=0.001111 err_SS=0.001365
[2024-08-08 18:34:11.010] [bm] [info] main: sampleN30 iter=16700 err_S=0.001378 err_SS=0.001719
[2024-08-08 18:34:53.742] [bm] [info] main: sampleN30 iter=16800 err_S=0.001574 err_SS=0.001940
[2024-08-08 18:35:36.444] [bm] [info] main: sampleN30 iter=16900 err_S=0.001223 err_SS=0.001763
[2024-08-08 18:36:19.175] [bm] [info] main: sampleN30 iter=17000 err_S=0.001440 err_SS=0.001728
[2024-08-08 18:37:01.868] [bm] [info] main: sampleN30 iter=17100 err_S=0.001527 err_SS=0.001767
[2024-08-08 18:37:44.565] [bm] [info] main: sampleN30 iter=17200 err_S=0.001282 err_SS=0.001431
